"building_name","sub_building_name","building_number","thoroughfare","dep_locality","post_town","postcode"
"","","81","HIGH STREET","GLYNNEATH","NEATH","SA11 5AL"
"PIXON TRADING CENTRE","UNIT 3",NULL,"PIXON LANE","","TAVISTOCK","PL19 8DH"
"PENTON CHAPEL","",NULL,"","CHRISTOW","EXETER","EX6 7NP"
"9A","",NULL,"SHELLEY AVENUE","","GREENFORD","UB6 8RU"
"","","16","ANNS HILL ROAD","","GOSPORT","PO12 3JY"
"","","21","MCCALLUM CRESCENT","","GOUROCK","PA19 1PY"
"","","3","SMITHS WHARF","","WANTAGE","OX12 9GG"
"","","3","RIFLES WAY","","BLANDFORD FORUM","DT11 7FS"
"","","4","CHANDOS AVENUE","","LONDON","W5 4ER"
"","","31","SHIPLEY ROAD","","LEICESTER","LE5 5BX"
"","","26","GOYTRE CRESCENT","","PORT TALBOT","SA13 2YD"
"","FLAT 1","17","DERBYSHIRE LANE","STRETFORD","MANCHESTER","M32 8BH"
"","","19","INGS ROAD","STEETON","KEIGHLEY","BD20 6RG"
"1 ALCOCK HOUSE","",NULL,"DEARMANS PLACE","","SALFORD","M3 5DX"
"","","12","GLEBE ROAD","","CLEETHORPES","DN35 8DA"
"","","20","SHAFTESBURY WAY","","KINGS LANGLEY","WD4 8NN"
"","","20","RIPON GARDENS","","BUXTON","SK17 9PL"
"","","16","LEXINGTON CLOSE","","BOREHAMWOOD","WD6 1UT"
"","","23","WIGHTMAN CLOSE","SHEPSHED","LOUGHBOROUGH","LE12 9NQ"
"","","143","KIRKLINGTON ROAD","RAINWORTH","MANSFIELD","NG21 0LA"
"33 LINCOLN HOUSE","",NULL,"ARUNDEL PLACE","","PRESTON","PR1 3RQ"
"LOUISE WHITE HOUSE","FLAT 45","53","HAZELLVILLE ROAD","","LONDON","N19 3LU"
"","","107","MACAULAY STREET","","GRIMSBY","DN31 2EX"
"","","37","MASONFIELD CRESCENT","","LANCASTER","LA1 3SR"
"LITTLE THATCH","",NULL,"CHAPEL STREET","MILBORNE ST. ANDREW","BLANDFORD FORUM","DT11 0JP"
"","","13","SHELDON AVENUE","","LONDON","N6 4NB"
"","","7","NEWARK AVENUE","","NOTTINGHAM","NG2 4JJ"
"164A","",NULL,"ASHBY HIGH STREET","","SCUNTHORPE","DN16 2JS"
"","","83","TORVILL DRIVE","","NOTTINGHAM","NG8 2BR"
"10 DURHAM HOUSE","",NULL,"SCHOLARS PARK","","DARLINGTON","DL3 7FD"
"","","22","MARSH STREET","","BRADFORD","BD5 9PB"
"","","20","BLACKTHORN WAY","MEASHAM","SWADLINCOTE","DE12 7ND"
"","","2","REGAL DRIVE","","SOWERBY BRIDGE","HX6 4RW"
"","","9","DAYTONA DRIVE","NORTHOP HALL","MOLD","CH7 6LP"
"","","85","SPENCER ROAD","","BELPER","DE56 1JW"
"","","3","HILLBURN DRIVE","","BIRKENHEAD","CH41 7DQ"
"","","52","LARCH GROVE","","LEICESTER","LE3 3FG"
"","","18","FURNESS ROAD","URMSTON","MANCHESTER","M41 0UQ"
"","","4","SEVERNMEAD","","HEMEL HEMPSTEAD","HP2 6DX"
"","","10","SHIBDEN HALL CROFT","","HALIFAX","HX3 9XF"
"36F","",NULL,"ST. JOHNS ROAD","","GOUROCK","PA19 1PQ"
"","","3","SUNNYDALE PARK","EAST MORTON","KEIGHLEY","BD20 5UF"
"6-8","",NULL,"STUART STREET","","LUTON","LU1 2SJ"
"","FLAT 37","58","BANK HOUSE ROAD","","MANCHESTER","M9 8LT"
"","","18","THE CLOSE","RAINWORTH","MANSFIELD","NG21 0DF"
